# Cartesian waypoints — auto-generated from G-code by gcode_to_waypoints.py
# Format: x, y, z, qx, qy, qz, qw [, extrude_mm [, velocity_scale]]
# Source transform: gcode_center=(94.0,100.0) mm  robot_center=(0.3,0.1) m  z_offset=0.05 m
# Fine-tune offsets: X=+0.0000 m  Y=+0.0000 m  Z=+0.0000 m
# Points: 16027  min_segment: 2.0 mm  extrusion_only: True
0.306103, 0.102057, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.00071, 0.3
0.304643, 0.099512, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.30789, 0.3
0.306843, 0.098399, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.21724, 0.3
0.307109, 0.100394, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.15967, 0.3
0.307887, 0.102401, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.10775, 0.3
0.301628, 0.102077, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.15244, 0.3
0.303608, 0.101476, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11826, 0.3
0.303239, 0.103495, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.12064, 0.3
0.301548, 0.102322, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11683, 0.3
0.297178, 0.096936, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.02018, 0.3
0.299327, 0.096845, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.10426, 0.3
0.301330, 0.097924, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11409, 0.3
0.301830, 0.100346, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.12095, 0.3
0.300854, 0.102518, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11554, 0.3
0.298856, 0.103109, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.10230, 0.3
0.296888, 0.102256, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.12233, 0.3
0.296909, 0.098051, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.20226, 0.3
0.292389, 0.098363, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.05991, 0.3
0.293621, 0.096649, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.15101, 0.3
0.295553, 0.097511, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.10742, 0.3
0.295001, 0.099510, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11056, 0.3
0.295907, 0.101556, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11602, 0.3
0.294636, 0.103134, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.10154, 0.3
0.292330, 0.102893, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11526, 0.3
0.294234, 0.101742, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.17619, 0.3
0.292893, 0.100226, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11896, 0.3
0.294103, 0.098420, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.14327, 0.3
0.289486, 0.098244, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.10008, 0.3
0.289468, 0.102348, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.19751, 0.3
0.288058, 0.099151, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.26924, 0.3
0.286355, 0.098055, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.12406, 0.3
0.290778, 0.096820, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.28573, 0.3
0.285587, 0.102032, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.18125, 0.3
0.283229, 0.103260, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.13963, 0.3
0.281360, 0.102116, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.10875, 0.3
0.280807, 0.100004, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11910, 0.3
0.281514, 0.097603, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.13438, 0.3
0.283587, 0.096649, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11346, 0.3
0.285453, 0.097499, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.10609, 0.3
0.283162, 0.098160, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.17404, 0.3
0.282336, 0.100536, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.13053, 0.3
0.283950, 0.101783, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11408, 0.3
0.310739, 0.100109, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11930, 0.3
0.311953, 0.098264, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.11299, 0.3
0.311037, 0.103322, 0.050300, 0.70711, 0.00056, 0.00056, 0.70711, 0.27626, 0.3
